update_date,cnt
2022/09/10,2
2022/09/11,1
2022/09/12,4
2022/09/13,1
2022/09/14,5
2022/09/15,2
2022/09/16,2
2022/09/18,1
2022/09/19,3
2022/09/20,7
2022/09/21,5
2022/09/22,1
2022/09/23,2
2022/09/24,1
2022/09/25,1
2022/09/26,3
2022/09/27,2
2022/09/28,2
2022/09/29,4
2022/09/30,3
2022/10/02,2
2022/10/03,5
2022/10/04,3
2022/10/05,3
2022/10/06,1
2022/10/07,5
2022/10/08,3
2022/10/09,1
2022/10/10,4
2022/10/11,1
2022/10/12,4
2022/10/13,1011
2022/10/14,4
2022/10/15,3
2022/10/16,2
2022/10/17,5
2022/10/18,5
2022/10/19,7
2022/10/20,12
2022/10/21,3
2022/10/22,2
2022/10/23,6
2022/10/24,4
2022/10/25,1
2022/10/26,6
2022/10/27,1
2022/10/28,3
2022/10/29,1
2022/10/31,3
2022/11/01,4
2022/11/02,3
2022/11/03,3
2022/11/04,9
2022/11/06,5
2022/11/07,6
2022/11/08,6
2022/11/09,5
2022/11/10,6
2022/11/11,3
2022/11/12,1
2022/11/13,3
2022/11/14,6
2022/11/15,11
2022/11/16,5
2022/11/17,6
2022/11/18,7
2022/11/20,5
2022/11/21,1
2022/11/22,6
2022/11/23,9
2022/11/24,7
2022/11/25,17
2022/11/26,1
2022/11/27,5
2022/11/28,12
2022/11/29,10
2022/11/30,9
2022/12/01,9
2022/12/02,11
2022/12/03,6
2022/12/04,6
2022/12/05,24
2022/12/06,7
2022/12/07,6
2022/12/08,7
2022/12/09,17
2022/12/10,3
2022/12/11,9
2022/12/12,15
2022/12/13,23
2022/12/14,14
2022/12/15,10
2022/12/16,13
2022/12/17,23
2022/12/18,14
2022/12/19,20
2022/12/20,31
2022/12/21,21
